10.0	55.0	0.060478622	28.0	6.927164e7	246551.0
15.0	120.0	0.078626966	16.0	1.18163552e8	209374.0
20.0	210.0	0.13305317	28.0	2.07218336e8	304766.0
25.0	325.0	0.150326907	13.0	2.34363808e8	225598.0
30.0	465.0	0.20035516	16.0	3.1607392e8	229312.0
35.0	630.0	0.4064846975	21.0	4.89407584e8	265610.0
40.0	820.0	0.578808595	29.0	7.5472136e8	320249.0
45.0	1035.0	0.5694949555	15.0	7.05499872e8	237464.0
50.0	1275.0	0.593258593	13.0	7.30394032e8	207270.0
55.0	1540.0	0.814276628	13.0	8.85486176e8	208782.0
60.0	1830.0	1.359948355	16.0	1.159307968e9	230734.0
65.0	2145.0	1.51691766	18.0	1.458346848e9	247094.0
70.0	2485.0	2.134814472	21.0	1.814775408e9	266647.0
75.0	2850.0	2.503005836	24.0	2.269801312e9	290216.0
80.0	3240.0	3.268527038	29.0	2.862441136e9	323258.0
85.0	3655.0	4.072653587	34.0	3.527043504e9	354298.0
90.0	4095.0	3.0948066445	15.0	2.359626976e9	218583.0
95.0	4560.0	3.303693005	14.0	2.606202688e9	215859.0
100.0	5050.0	3.2320360825	12.0	2.734247328e9	204558.0
